user_id,timestamp,domain,ip_dst,port,protocol,duration,bytes_sent,bytes_received,vpn_usage,is_fraud
6511588897470,2023-05-09 09:35:49,fileshare.cc,6.164.2.97,53,TCP,5,381,83,False,True
5738043769034,2023-03-27 02:23:10,darkmsg.io,170.108.207.193,9050,TCP,247,16160,2461,True,True
9239385222826,2023-06-28 11:36:39,vpnservice.net,101.192.246.176,443,UDP,5,69,204,False,True
5829238890917,2023-05-30 03:28:11,onion.hidden,66.202.226.240,6667,TCP,95,2427,20965,True,True
2749576836166,2023-04-05 14:41:20,vpnservice.net,111.175.13.179,53,TCP,5,239,406,False,True
0554400562934,2023-03-24 01:13:36,onion.hidden,97.19.99.190,9050,TCP,112,14105,19281,True,True
6808291035268,2023-05-10 09:06:57,fileshare.cc,198.55.142.161,53,TCP,5,134,43,False,True
1818788295546,2023-07-05 02:23:25,onion.hidden,201.121.70.103,6667,TCP,132,12794,20053,True,True
7125736918449,2023-10-13 12:49:25,vpnservice.net,56.129.159.250,80,TCP,4,200,208,True,True
2889626364399,2023-09-08 01:48:55,darkmsg.io,154.32.82.251,6667,UDP,238,17687,4254,True,True
4569945495330,2023-03-23 09:40:37,vpnservice.net,65.19.43.189,80,TCP,5,285,479,False,True
1092262542947,2023-05-17 03:07:39,darkmsg.io,209.234.71.210,6667,UDP,143,10171,23896,True,True
8162892475669,2023-05-11 00:04:15,fileshare.cc,179.139.159.108,53,UDP,2,398,292,False,True
1226145900470,2023-10-13 02:30:17,darkmsg.io,88.42.61.138,6667,UDP,70,15209,6113,True,True
9908557654904,2023-02-21 17:17:23,socialapp.io,187.251.152.245,80,TCP,5,461,325,False,True
3246955833963,2023-03-03 03:10:47,darkmsg.io,161.229.132.219,6667,UDP,86,9142,17652,True,True
4756314571142,2023-08-04 00:05:23,onion.hidden,52.2.176.172,53,TCP,1,290,138,True,True
4458375193166,2023-04-09 02:06:32,darkmsg.io,60.227.170.27,6667,UDP,125,11517,18698,True,True
9329672132970,2023-10-04 16:52:52,example.com,44.251.165.162,53,UDP,4,155,58,False,True
5502508341090,2023-06-20 03:21:10,onion.hidden,217.76.76.255,9050,TCP,99,11884,14517,True,True
4008031014729,2023-07-24 04:33:12,example.com,192.27.94.53,53,TCP,2,63,397,False,True
5228314040176,2023-12-26 01:34:41,darkmsg.io,132.2.82.93,9050,UDP,228,7167,2383,True,True
5684251420281,2023-02-11 10:09:08,socialapp.io,141.18.95.1,443,UDP,5,27,79,False,True
1426312121947,2023-07-07 02:39:03,onion.hidden,79.64.102.133,9050,UDP,131,997,5705,True,True
0606755351464,2023-08-28 22:19:30,onion.hidden,47.168.5.177,80,UDP,1,132,346,False,True
3259982952430,2023-10-09 03:00:24,darkmsg.io,37.74.21.249,6667,TCP,227,18782,11866,True,True
3658422140870,2023-10-13 16:28:17,vpnservice.net,194.229.34.173,80,TCP,3,292,133,True,True
4198147261100,2023-05-30 02:32:54,darkmsg.io,44.131.227.76,9050,TCP,85,18816,21951,True,True
3166202301577,2023-02-18 10:32:25,vpnservice.net,217.253.244.48,443,TCP,5,24,140,False,True
0587187059336,2023-05-20 01:00:01,onion.hidden,42.69.148.150,9050,UDP,263,19442,15992,True,True
9869954991695,2023-12-04 06:58:48,onion.hidden,123.159.126.249,80,UDP,1,412,463,False,True
5401314954910,2023-10-09 02:58:40,onion.hidden,117.240.133.9,6667,TCP,195,16933,2820,True,True
4859890580712,2023-07-30 15:42:26,socialapp.io,153.139.45.24,443,TCP,2,416,390,False,True
3840221152007,2023-09-14 03:23:56,onion.hidden,168.4.43.143,9050,TCP,176,4840,18939,True,True
0062897105538,2023-03-19 13:46:43,example.com,108.222.29.51,53,UDP,4,304,123,True,True
3722386710037,2023-03-15 03:20:38,onion.hidden,112.158.16.133,6667,TCP,123,15828,15615,True,True
8597429098366,2023-08-06 08:48:02,onion.hidden,215.191.163.14,443,UDP,5,87,492,True,True
8491182449694,2023-09-05 01:37:57,darkmsg.io,130.65.223.49,9050,TCP,46,13492,7130,True,True
6315303833548,2023-06-16 07:43:05,vpnservice.net,154.227.221.255,53,UDP,4,100,51,True,True
2605934759812,2023-01-19 03:42:54,darkmsg.io,172.161.149.244,9050,TCP,225,8906,23809,True,True
0362571809333,2023-10-08 11:38:45,onion.hidden,156.100.77.14,53,UDP,3,163,282,False,True
1922899343497,2023-09-20 02:33:22,onion.hidden,41.46.68.203,9050,UDP,91,18679,20995,True,True
0857202430962,2023-01-08 19:05:55,news.org,218.29.139.17,80,UDP,1,255,21,False,True
9541533992999,2023-04-17 03:24:57,onion.hidden,133.234.237.240,6667,UDP,259,208,6510,True,True
9095225217145,2023-11-05 19:24:43,onion.hidden,167.203.173.105,443,TCP,4,236,436,True,True
